PROVINCIA,00:00-6:00,6:01-12:00,12:01-18:00,18:01-23:59
AZ,4,2,2,4
BO,1,1,0,1
CA,5,0,1,4
CAR,2,2,1,0
CHI,1,2,0,0
CO,3,1,1,1
EO,9,3,6,17
ES,7,7,2,7
GU,18,11,13,21
IM,3,5,1,1
LO,4,0,2,0
LR,6,6,6,4
MA,4,7,4,6
NA,0,0,1,1
OR,2,2,2,3
PI,51,22,32,32
MS,0,2,0,0
SE,1,0,2,0
SDT,4,3,2,6
SU,2,2,1,14
TU,0,0,1,0
ZC,1,0,0,2
