PROVINCIA,00:00-6:00,6:01-12:00,12:01-18:00,18:01-23:59
AZ,11,4,8,12
BO,2,3,0,5
CA,7,4,2,7
CAR,2,3,2,2
CHI,2,6,5,1
CO,6,4,1,3
EO,26,11,11,26
ES,37,24,43
GU,81,63,21,165
IM,7,9,2,4
LO,7,3,4,3
LR,24,32,26,56
MA,15,20,19,35
NA,3,2,3,1
OR,6,4,4,9
PI,56,24,37,46
MS,0,2,3,0
SE,3,0,2,4
SDT,9,11,13,18
SU,12,5,6,22
TU,3,1,4,2
ZC,2,0,0,2
