city,lat,lon
GUAYAS,-2.6501264796,-80.2885536188
GUAYAS,-2.1606211857,-79.8064429073
CHIMBORAZO,-1.6039912408,-78.6242729471
ESMERALDAS,0.3255310148,-79.3496730331
MANABI,-0.7790190574,-80.3274477443
PICHINCHA,-0.1193876237,-78.4156597682
AZUAY,-2.871198528,-78.9040651516
ESMERALDAS,0.9604800204,-79.6956200815
PICHINCHA,-0.1293898826,-78.4933795735
GUAYAS,-2.6356831809,-80.3716329402
ESMERALDAS,0.3403590172,-79.2656893024
LOS_RIOS,-1.0324863584,-79.4947651896
ESMERALDAS,1.2948076272,-78.7891027638
ESMERALDAS,0.9668209982,-79.75813329
LOS_RIOS,-1.5462129707,-79.6624183049
GUAYAS,-2.6293370354,-80.3448048236
ORELLANA,-0.2974328731,-76.9239220894
LOS_RIOS,-1.5486565306,-79.6748313032
LOS_RIOS,-1.7999254973,-79.58300314
GUAYAS,-1.0572306614,-79.6357787688
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2397804984,-79.169062783
GUAYAS,-2.1224162704,-79.5899687513
PICHINCHA,0.1375594915,-78.8557499145
ESMERALDAS,0.9548868616,-79.6261766991
PICHINCHA,0.1471308274,-78.6842614208
GUAYAS,-2.0983682334,-79.6922422624
ESMERALDAS,0.3362121421,-79.3985364149
GUAYAS,-2.0639220072,-80.0213954182
LOS_RIOS,-0.8747743269,-79.3969179195
LOJA,-3.9784016683,-79.3584286985
GUAYAS,-2.1771473977,-78.8918183839
PICHINCHA,-0.2129436378,-78.4150524986
GUAYAS,-2.1204647547,-79.5974083793
GUAYAS,-2.1170808789,-80.1206968645
EL_ORO,-3.3272895169,-79.8958774376
LOS_RIOS,-1.7867657826,-79.4980399009
PICHINCHA,-0.2427527061,-78.5398836857
SUCUMBIOS,0.1040254104,-76.8082384667
LOS_RIOS,-1.0186912352,-79.5482655936
MANABI,-0.8421375089,-79.7234910152
AZUAY,-2.9262707775,-78.8432193748
GUAYAS,-1.9507049931,-79.7750739439
GUAYAS,-2.6411232422,-80.2878654179
GUAYAS,-2.2027482417,-79.3667711828
PICHINCHA,-0.115241943,-78.5644464399
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2374967675,-79.1789336785
GUAYAS,0.3891870922,-78.1771189605
